"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","AB","H","R","HR","RBI","SB","AVG","GP"
"*05lo5*","C","Freddy Fermin","KC/SD","C","Act","30","ARI 4<br/>@SD 12 F","6","X","319","80","32","5","26","1",".251","109"
"*05un2*","C","Edgar Quero","CHW","C","Act","22","CHW 8<br/>@WSH 0 F","2","RX","365","98","31","5","36","0",".268","111"
"*03dgq*","1B","Ryan OHearn","BAL/SD","1B,OF","Act","32","ARI 4<br/>@SD 12 F","11","X","474","133","67","17","63","3",".281","144"
"*05ajg*","2B","Ha-seong Kim","TB/ATL","2B,SS","Act","30","PIT 1<br/>@ATL 4 F","15","X","171","40","19","5","17","6",".234","48"
"*02w7p*","3B","Alex Bregman","BOS","3B","Act","31","DET 3<br/>@BOS 4 F","29","X","433","118","64","18","62","1",".273","114"
"*05rch*","SS","Colson Montgomery","CHW","3B,SS","Act","23","CHW 8<br/>@WSH 0 F","5","RX","255","61","43","21","55","0",".239","71"
"*03pjd*","CI","Josh Naylor","ARI/SEA","1B","Act","28","LAD 6<br/>@SEA 1 F","25","FA","543","160","81","20","92","30",".295","147"
"*03aqw*","MI","Mauricio Dubon","HOU","1B,2B,3B,SS,OF","Act","31","HOU 6<br/>@LAA 2 F","4","X","369","89","43","7","33","3",".241","133"
"*0316t*","OF","Adam Frazier","PIT/KC","2B,3B,OF","Act","33","KC 9<br/>@ATH 2 F","5","FA","419","112","43","7","44","8",".267","134"
"*04nb2*","OF","Riley Greene","DET","OF","Act","25","DET 3<br/>@BOS 4 F","26","X","600","155","84","36","111","2",".258","157"
"*04emt*","OF","Jake Meyers","HOU","OF","Act","29","HOU 6<br/>@LAA 2 F","9","FA","343","100","53","3","24","16",".292","104"
"*03qr0*","OF","Cedric Mullins","BAL/NYM","OF","Act","31","NYM 0<br/>@MIA 4 F","29","X","435","94","58","17","59","22",".216","133"
"*02yk4*","OF","Tyler ONeill","BAL","OF","Act","30","BAL 2<br/>@NYY 3 F","21","X","181","36","22","9","26","4",".199","54"
"*05gsc*","UT","Jordan Westburg","BAL","2B,3B","Act","26","BAL 2<br/>@NYY 3 F","9","26","328","87","59","17","41","1",".265","85"
"*060jo*","UT","Cam Smith","HOU","3B,OF","Res","22","HOU 6<br/>@LAA 2 F","5","RX","441","104","55","9","51","8",".236","134"
"*02u47*","MI","Chris Taylor","LAD/LAA","2B,3B,OF","Res","35","HOU 6<br/>@LAA 2 F","5","FA","113","21","15","2","12","2",".186","57"
"*05unf*","OF","Denzel Clarke","ATH","OF","IR","25","KC 9<br/>@ATH 2 F","9","FA","148","34","18","3","8","6",".230","47"
"*05y3q*","C","Blake Mitchell","KC","C","Min","21","KC 9<br/>@ATH 2 F","4","R","0","0","0","0","0","0","0","0"
"*0662o*","SS","Sebastian Walcott","TEX","3B,SS","Min","19","TEX 8<br/>@CLE 9 F","4","R","0","0","0","0","0","0","0","0"
"*05u3v*","OF","Walker Jenkins","MIN","OF","Min","20","MIN 1<br/>@PHI 2 F","5","R","0","0","0","0","0","0","0","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","IP","W","SV","K","ERA","WHIP","H","AB","R","RBI","HR","SB","AVG","GP"
"*04cwf*","P","Shane Baz","TB","SP","Act","26","TB 4<br/>@TOR 13 F","8","25","166.1","10","0","176","4.87","1.335","0","0","0","0","0","0","0","31"
"*02mwk*","P","Jose Berrios","TOR","SP","Act","31","TB 4<br/>@TOR 13 F","10","X","166","9","0","138","4.17","1.301","0","0","0","0","0","0","0","31"
"*04pr8*","P","Taj Bradley","TB/MIN","SP","Act","24","MIN 1<br/>@PHI 2 F","8","26","142.2","6","0","127","5.05","1.311","0","0","0","0","0","0","0","27"
"*05144*","P","Hunter Brown","HOU","SP","Act","27","HOU 6<br/>@LAA 2 F","20","26","185.1","12","0","206","2.43","1.025","0","0","0","0","0","0","0","31"
"*04c0o*","P","Jose Soriano","LAA","SP","Act","27","HOU 6<br/>@LAA 2 F","7","X","169","10","0","152","4.26","1.396","0","0","0","0","0","0","0","31"
"*04pqo*","P","Braydon Fisher","TOR","RP","Act","25","TB 4<br/>@TOR 13 F","5","FA","50","7","0","62","2.70","1.020","0","0","0","0","0","0","0","52"
"*041rq*","P","Brenan Hanifee","DET","RP","Act","27","DET 3<br/>@BOS 4 F","5","FA","60","3","0","40","3.00","1.317","0","0","0","0","0","0","0","54"
"*0614c*","P","Jordan Leasure","CHW","RP","Act","27","CHW 8<br/>@WSH 0 F","5","FA","64.1","5","7","81","3.92","1.228","0","0","0","0","0","0","0","68"
"*05ucd*","P","Mason Miller","ATH/SD","RP","Act","27","ARI 4<br/>@SD 12 F","26","X","61.2","1","22","104","2.63","0.908","0","0","0","0","0","0","0","60"
"*032lk*","P","Sean Newcomb","BOS/ATH","RP","Act","32","KC 9<br/>@ATH 2 F","15","FA","92.1","2","2","91","2.73","1.354","0","0","0","0","0","0","0","48"
"*04pmb*","P","Kris Bubic","KC","SP","IR","28","KC 9<br/>@ATH 2 F","4","X","116.1","8","0","116","2.55","1.178","0","0","0","0","0","0","0","20"
"*01spo*","P","Gerrit Cole","NYY","SP","IR","35","BAL 2<br/>@NYY 3 F","2","X","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03vcw*","P","Jordan Hicks","SF/BOS","RP","IR","29","DET 3<br/>@BOS 4 F","5","FA","67.1","2","2","58","6.95","1.663","0","0","0","0","0","0","0","34"
"*05ad7*","P","Manuel Rodriguez","TB","RP","IR","29","TB 4<br/>@TOR 13 F","1","X","30.1","1","0","25","2.08","1.055","0","0","0","0","0","0","0","31"
"*04puc*","P","Bennett Sousa","HOU","RP","IR","30","HOU 6<br/>@LAA 2 F","5","FA","50.2","5","4","59","2.84","1.026","0","0","0","0","0","0","0","44"

