"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","AB","H","R","HR","RBI","SB","AVG","GP"
"*04my4*","C","Cal Raleigh","SEA","C","Act","28","LAD 6<br/>@SEA 1 F","22","X","596","147","110","60","125","14",".247","159"
"*05wxy*","C","Kyle Teel","CHW","C","Act","23","CHW 8<br/>@WSH 0 F","4","RX","253","69","38","8","35","3",".273","78"
"*05t9v*","1B","Jonathan Aranda","TB","1B","Act","27","TB 4<br/>@TOR 13 F","7","X","370","117","56","14","59","0",".316","106"
"*0473m*","2B","Zach McKinstry","DET","2B,3B,SS,OF,P","Act","30","DET 3<br/>@BOS 4 F","2","X","452","117","68","12","49","19",".259","144"
"*04y44*","3B","Josh Jung","TEX","3B","Act","27","TEX 8<br/>@CLE 9 F","9","25","482","121","53","14","61","4",".251","131"
"*0622t*","SS","Jacob Wilson","ATH","SS","Act","23","KC 9<br/>@ATH 2 F","5","25","486","151","62","13","63","5",".311","125"
"*06dn6*","CI","C.J. Kayfus","CLE","1B,OF","Act","24","TEX 8<br/>@CLE 9 F","5","FA","123","27","16","4","19","4",".220","44"
"*04pmt*","MI","Jeremiah Jackson","BAL","3B,SS,OF","Act","25","BAL 2<br/>@NYY 3 F","5","FA","170","47","20","5","21","0",".276","48"
"*02i3l*","OF","Miguel Andujar","ATH/CIN","3B,OF","Act","30","CIN 2<br/>@MIL 4 F","2","X","321","102","36","10","44","1",".318","94"
"*050c3*","OF","Jasson Dominguez","NYY","OF","Act","22","BAL 2<br/>@NYY 3 F","4","RX","381","98","58","10","47","23",".257","123"
"*03pit*","OF","Trent Grisham","NYY","OF","Act","29","BAL 2<br/>@NYY 3 F","5","FA","493","116","87","34","74","3",".235","143"
"*02w16*","OF","Anthony Santander","TOR","OF","Act","31","TB 4<br/>@TOR 13 F","28","X","194","34","16","6","18","0",".175","54"
"*05249*","OF","Austin Martin","MIN","OF,UT","Act","26","MIN 1<br/>@PHI 2 F","5","FA","156","44","22","1","7","11",".282","50"
"*048tn*","UT","Carlos Narvaez","BOS","C","Act","26","DET 3<br/>@BOS 4 F","5","FA","403","97","51","15","50","1",".241","118"
"*04azv*","1B","Jake Burger","TEX","1B,3B","Res","29","TEX 8<br/>@CLE 9 F","25","X","356","84","43","16","53","1",".236","103"
"*04nqx*","OF","Ezequiel Duran","TEX","1B,2B,3B,SS,OF,P","Res","26","TEX 8<br/>@CLE 9 F","5","FA","205","46","16","0","14","11",".224","90"
"*041pq*","OF","Taylor Trammell","HOU","OF","Res","28","HOU 6<br/>@LAA 2 F","5","FA","117","23","15","3","12","3",".197","52"
"*05tc7*","2B","Ryan Bliss","SEA","2B","IR","25","LAD 6<br/>@SEA 1 F","12","X","35","7","1","1","3","2",".200","11"
"*0641c*","OF","Zach Dezenzo","HOU","1B,OF","IR","25","HOU 6<br/>@LAA 2 F","11","FA","98","24","17","2","10","1",".245","34"
"*05165*","OF","Will Brennan","CLE","OF","IR","27","TEX 8<br/>@CLE 9 F","4","X","11","1","0","0","0","0",".091","6"
"*05zde*","2B","Travis Bazzana","CLE","2B","Min","23","TEX 8<br/>@CLE 9 F","5","R","0","0","0","0","0","0","0","0"
