"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","AB","H","R","HR","RBI","SB","AVG","GP"
"*0311f*","C","Victor Caratini","HOU","C,1B","Act","32","HOU 6<br/>@LAA 2 F","2","X","344","89","35","12","46","1",".259","114"
"*04pmu*","C","Ryan Jeffers","MIN","C","Act","28","MIN 1<br/>@PHI 2 F","12","X","406","108","47","9","47","1",".266","119"
"*02mw3*","1B","Christian Walker","HOU","1B","Act","34","HOU 6<br/>@LAA 2 F","27","X","585","139","72","27","88","2",".238","154"
"*03pzn*","2B","Andres Gimenez","TOR","2B,SS","Act","27","TB 4<br/>@TOR 13 F","26","X","329","69","39","7","35","12",".210","101"
"*030uc*","3B","Rafael Devers","BOS/SF","1B,3B","Act","29","COL 0<br/>@SF 4 F","35","X","607","153","99","35","109","1",".252","163"
"*0310z*","SS","J.P. Crawford","SEA","SS","Act","30","LAD 6<br/>@SEA 1 F","10","X","570","151","69","12","58","8",".265","157"
"*05js5*","CI","Coby Mayo","BAL","1B,3B","Act","23","BAL 2<br/>@NYY 3 F","3","RX","263","57","30","11","28","3",".217","85"
"*052ru*","MI","Josh Smith","TEX","1B,3B,SS,OF","Act","28","TEX 8<br/>@CLE 9 F","5","X","495","124","70","10","35","12",".251","144"
"*05135*","OF","Jake Mangum","TB","OF","Act","29","TB 4<br/>@TOR 13 F","5","FA","405","120","37","3","40","27",".296","118"
"*03nru*","OF","Jesus Sanchez","MIA/HOU","OF","Act","28","HOU 6<br/>@LAA 2 F","28","FA","451","107","61","14","48","13",".237","134"
"*01s8u*","OF","Mike Trout","LAA","OF","Act","34","HOU 6<br/>@LAA 2 F","24","X","456","106","73","26","64","2",".232","130"
"*04qii*","OF","Addison Barger","TOR","3B,OF","Act","26","TB 4<br/>@TOR 13 F","5","FA","460","112","61","21","74","4",".243","135"
"*04an8*","OF","Wenceel Perez","DET","OF,UT","Act","26","DET 3<br/>@BOS 4 F","4","X","344","84","47","13","43","8",".244","100"
"*04si3*","UT","Brayan Rocchio","CLE","2B,SS","Act","24","TEX 8<br/>@CLE 9 F","5","FA","344","80","34","5","44","8",".233","115"
"*05zh9*","2B","Luke Keaschall","MIN","2B","Res","23","MIN 1<br/>@PHI 2 F","5","RX","182","55","25","4","28","14",".302","49"
"*03lua*","2B","Brendan Rodgers","HOU","2B","IR","29","HOU 6<br/>@LAA 2 F","1","X","115","22","12","2","11","0",".191","43"
"*047l7*","UT","Luis Robert Jr.","CHW","OF","IR","28","CHW 8<br/>@WSH 0 F","28","X","382","85","52","14","53","33",".223","110"
"*05t9n*","SS","Carson Williams","TB","SS","Min","22","TB 4<br/>@TOR 13 F","4","R","99","17","11","5","12","2",".172","32"
"*05rfc*","1B","Lazaro Montes","SEA","OF","Min","21","LAD 6<br/>@SEA 1 F","2","R","0","0","0","0","0","0","0","0"
"*0630e*","OF","Colby Thomas","ATH","OF","Min","24","KC 9<br/>@ATH 2 F","4","R","120","27","20","6","19","2",".225","49"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","IP","W","SV","K","ERA","WHIP","H","AB","R","RBI","HR","SB","AVG","GP"
"*04t40*","P","Brayan Bello","BOS","SP","Act","26","DET 3<br/>@BOS 4 F","4","X","166.2","11","0","124","3.35","1.236","0","0","0","0","0","0","0","29"
"*041yb*","P","Dean Kremer","BAL","SP","Act","29","BAL 2<br/>@NYY 3 F","3","X","171.2","11","0","142","4.19","1.212","0","0","0","0","0","0","0","31"
"*041ma*","P","Cole Ragans","KC","SP","Act","27","KC 9<br/>@ATH 2 F","20","25","61.2","3","0","98","4.67","1.184","0","0","0","0","0","0","0","13"
"*04eee*","P","Drew Rasmussen","TB","SP","Act","30","TB 4<br/>@TOR 13 F","1","25","150","10","0","127","2.76","1.020","0","0","0","0","0","0","0","31"
"*02c2r*","P","Carlos Rodon","NYY","SP","Act","32","BAL 2<br/>@NYY 3 F","14","X","195.1","18","0","203","3.09","1.049","0","0","0","0","0","0","0","33"
"*0473n*","P","Tyler Wells","BAL","SP","Act","31","BAL 2<br/>@NYY 3 F","5","FA","21.2","2","0","18","2.91","0.877","0","0","0","0","0","0","0","4"
"*04tlv*","P","Bryan Abreu","HOU","RP","Act","28","HOU 6<br/>@LAA 2 F","4","X","71","3","7","105","2.28","1.155","0","0","0","0","0","0","0","70"
"*041w4*","P","Bryan Baker","BAL/TB","RP","Act","30","TB 4<br/>@TOR 13 F","1","FA","68.2","4","3","83","4.06","1.107","0","0","0","0","0","0","0","73"
"*04apj*","P","Jhoan Duran","MIN/PHI","RP","Act","27","MIN 1<br/>@PHI 2 F","21","X","70","7","32","80","2.06","1.100","0","0","0","0","0","0","0","72"
"*066er*","P","Grant Taylor","CHW","RP","Act","23","CHW 8<br/>@WSH 0 F","8","FA","36.2","2","6","54","4.91","1.418","0","0","0","0","0","0","0","36"
"*05xod*","P","Sean Burke","CHW","SP","Res","25","CHW 8<br/>@WSH 0 F","3","RX","134.1","4","0","133","4.22","1.444","0","0","0","0","0","0","0","28"
"*02n9l*","P","Dietrich Enns","DET/BAL","RP","Res","34","BAL 2<br/>@NYY 3 F","5","FA","46.1","3","2","49","4.08","1.403","0","0","0","0","0","0","0","24"
"*06hv8*","P","Logan Evans","SEA","SP","IR","24","LAD 6<br/>@SEA 1 F","8","FA","81.1","6","0","59","4.32","1.389","0","0","0","0","0","0","0","16"
"*04ni3*","P","Luis Garcia","HOU","SP","IR","28","HOU 6<br/>@LAA 2 F","1","X","7.2","1","0","7","3.52","0.522","0","0","0","0","0","0","0","2"
"*03sef*","P","Seth Lugo","KC","SP","IR","36","KC 9<br/>@ATH 2 F","5","25","145.1","8","0","125","4.15","1.294","0","0","0","0","0","0","0","26"
"*02z0e*","P","Yimi Garcia","TOR","RP","IR","35","TB 4<br/>@TOR 13 F","2","X","21","1","3","25","3.86","1.190","0","0","0","0","0","0","0","22"

