"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","AB","H","R","HR","RBI","SB","AVG","GP"
"*05rbv*","C","Samuel Basallo","BAL","C,1B","Act","21","BAL 2<br/>@NYY 3 F","5","R","109","18","10","4","15","0",".165","31"
"*03av1*","C","Jake Rogers","DET","C,P","Act","30","DET 3<br/>@BOS 4 F","3","X","123","23","14","3","19","0",".187","49"
"*03m6o*","1B","Yandy Diaz","TB","1B","Act","34","TB 4<br/>@TOR 13 F","25","X","583","175","79","25","83","3",".300","150"
"*03qjy*","2B","Brandon Lowe","TB","2B","Act","31","TB 4<br/>@TOR 13 F","18","X","507","130","79","31","83","3",".256","134"
"*02yd1*","3B","Jorge Polanco","SEA","2B,3B,CI,MI,UT","Act","32","LAD 6<br/>@SEA 1 F","7","X","471","125","64","26","78","6",".265","138"
"*02i2q*","SS","Carlos Correa","MIN/HOU","3B,SS","Act","31","HOU 6<br/>@LAA 2 F","23","X","537","148","63","13","52","0",".276","144"
"*03eet*","CI","Yoan Moncada","LAA","3B","Act","30","HOU 6<br/>@LAA 2 F","5","X","248","58","39","12","35","0",".234","84"
"*04de0*","MI","Ramon Urias","BAL/HOU","2B,3B","Act","31","HOU 6<br/>@LAA 2 F","5","FA","352","85","33","11","44","3",".241","112"
"*04ppi*","OF","Kody Clemens","PHI/MIN","1B,2B,OF,P","Act","29","MIN 1<br/>@PHI 2 F","6","FA","348","74","46","19","52","5",".213","119"
"*0513g*","OF","Cody Freeman","TEX","2B,3B,OF","Act","24","TEX 8<br/>@CLE 9 F","25","FA","114","26","13","3","15","1",".228","36"
"*02i2k*","OF","Byron Buxton","MIN","OF","Act","31","MIN 1<br/>@PHI 2 F","21","X","488","129","97","35","83","24",".264","126"
"*03c65*","OF","Victor Robles","SEA","OF","Act","28","LAD 6<br/>@SEA 1 F","5","25","106","26","12","1","9","6",".245","32"
"*04fhb*","OF","Julio Rodriguez","SEA","OF","Act","24","LAD 6<br/>@SEA 1 F","15","25","652","174","106","32","95","30",".267","160"
