"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","AB","H","R","HR","RBI","SB","AVG","GP"
"*05gx4*","C","Dillon Dingler","DET","C","Act","27","DET 3<br/>@BOS 4 F","1","X","435","121","54","13","57","0",".278","126"
"*05yo5*","C","Ben Rice","NYY","C,1B","Act","26","BAL 2<br/>@NYY 3 F","2","X","467","119","74","26","65","3",".255","138"
"*041xv*","1B","Nathaniel Lowe","WSH/BOS","1B","Act","30","DET 3<br/>@BOS 4 F","5","FA","540","123","64","18","84","1",".228","153"
"*031b3*","2B","Isiah Kiner-Falefa","PIT/TOR","2B,3B,SS,P","Act","30","TB 4<br/>@TOR 13 F","25","FA","431","113","45","2","40","15",".262","138"
"*0310n*","3B","Ryan McMahon","COL/NYY","3B","Act","30","BAL 2<br/>@NYY 3 F","21","FA","509","109","62","20","53","3",".214","154"
"*026mn*","SS","Javier Baez","DET","2B,3B,SS,OF","Act","32","DET 3<br/>@BOS 4 F","1","X","417","107","55","12","57","5",".257","126"
"*05yj1*","CI","Nolan Schanuel","LAA","1B","Act","23","HOU 6<br/>@LAA 2 F","17","X","488","129","64","12","53","5",".264","132"
"*04o2x*","MI","Davis Schneider","TOR","2B,OF","Act","26","TB 4<br/>@TOR 13 F","5","FA","188","44","33","11","31","3",".234","82"
"*024m0*","OF","Jose Altuve","HOU","2B,MI,OF,UT","Act","35","HOU 6<br/>@LAA 2 F","36","X","588","156","80","26","77","10",".265","155"
"*04nx3*","OF","Jonathan India","KC","2B,3B,OF","Act","28","KC 9<br/>@ATH 2 F","19","X","497","116","63","9","45","0",".233","136"
"*04y95*","OF","JJ Bleday","ATH","OF","Act","28","KC 9<br/>@ATH 2 F","5","FA","307","65","48","14","39","1",".212","98"
"*05yfl*","OF","Joey Loperfido","TOR","OF","Act","26","TB 4<br/>@TOR 13 F","5","FA","96","32","12","4","14","1",".333","41"
"*03qmr*","OF","Nathan Lukes","TOR","OF","Act","31","TB 4<br/>@TOR 13 F","5","FA","388","99","55","12","65","2",".255","135"
"*04071*","UT","Isaac Paredes","HOU","3B","Act","26","HOU 6<br/>@LAA 2 F","22","X","378","96","53","20","53","0",".254","102"
"*04psr*","C","David Fry","CLE","C,1B,OF","Res","30","TEX 8<br/>@CLE 9 F","1","X","146","25","16","8","23","1",".171","66"
"*031el*","C","Danny Jansen","TB/MIL","C","Res","30","CIN 2<br/>@MIL 4 F","10","X","288","62","38","14","36","0",".215","98"
"*05yca*","3B","Brett Harris","ATH","1B,3B","Res","27","KC 9<br/>@ATH 2 F","5","FA","73","20","11","0","5","1",".274","32"
"*02mw6*","SS","Corey Seager","TEX","SS","IR","31","TEX 8<br/>@CLE 9 F","28","X","380","103","61","21","50","3",".271","102"
"*03dei*","OF","Lane Thomas","CLE","OF","IR","30","TEX 8<br/>@CLE 9 F","23","X","125","20","10","4","11","4",".160","39"
"*02i11*","OF","Jorge Soler","LAA","OF,UT","IR","33","HOU 6<br/>@LAA 2 F","17","X","279","60","31","12","34","0",".215","82"
"*05raw*","C","Harry Ford","SEA","C","Min","22","LAD 6<br/>@SEA 1 F","5","R","6","1","1","0","1","0",".167","8"
"*05yid*","2B","Michael Arroyo","SEA","2B","Min","21","LAD 6<br/>@SEA 1 F","4","R","0","0","0","0","0","0","0","0"
"*05yhe*","1B","Juan Brito","CLE","1B,2B,3B","Min","24","TEX 8<br/>@CLE 9 F","2","R","0","0","0","0","0","0","0","0"
"*05yix*","OF","Jaison Chourio","CLE","OF","Min","20","TEX 8<br/>@CLE 9 F","5","R","0","0","0","0","0","0","0","0"
"*05uei*","OF","Chase DeLauter","CLE","OF","Min","24","TEX 8<br/>@CLE 9 F","1","R","0","0","0","0","0","0","0","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","IP","W","SV","K","ERA","WHIP","H","AB","R","RBI","HR","SB","AVG","GP"
"*01xfr*","P","Patrick Corbin","TEX","SP","Act","36","TEX 8<br/>@CLE 9 F","3","X","155.1","7","0","131","4.40","1.365","0","0","0","0","0","0","0","31"
"*06f1r*","P","Connelly Early","BOS","SP","Act","23","DET 3<br/>@BOS 4 F","2","FA","19.1","1","0","29","2.33","1.086","0","0","0","0","0","0","0","4"
"*02hir*","P","Michael Lorenzen","KC","SP","Act","33","KC 9<br/>@ATH 2 F","5","FA","141.2","7","0","127","4.64","1.327","0","0","0","0","0","0","0","27"
"*04ak5*","P","Trevor Rogers","BAL","SP","Act","28","BAL 2<br/>@NYY 3 F","5","FA","109.2","9","0","103","1.81","0.903","0","2","0","0","0","0",".000","18"
"*04ptt*","P","Tarik Skubal","DET","SP","Act","29","DET 3<br/>@BOS 4 F","8","25","195.1","13","0","241","2.21","0.891","0","0","0","0","0","0","0","31"
"*05jp7*","P","Gavin Williams","CLE","SP","Act","26","TEX 8<br/>@CLE 9 F","5","25","167.2","12","0","173","3.06","1.270","0","0","0","0","0","0","0","31"
"*05ym7*","P","Fernando Cruz","NYY","RP","Act","35","BAL 2<br/>@NYY 3 F","4","X","48","3","2","72","3.56","1.188","0","0","0","0","0","0","0","49"
"*03mnq*","P","Carlos Estevez","KC","RP","Act","32","KC 9<br/>@ATH 2 F","14","X","66","4","42","54","2.45","1.061","0","0","0","0","0","0","0","67"
"*02n2x*","P","Paul Sewald","CLE/DET","RP","Act","35","DET 3<br/>@BOS 4 F","3","X","19.2","1","2","20","4.58","1.220","0","0","0","0","0","0","0","22"
"*0421q*","P","Greg Weissert","BOS","RP","Act","30","DET 3<br/>@BOS 4 F","5","FA","67","6","4","57","2.82","1.164","0","0","0","0","0","0","0","72"
"*03qxr*","P","Cole Sands","MIN","RP","Res","28","MIN 1<br/>@PHI 2 F","5","FA","72","4","3","64","4.50","1.167","0","0","0","0","0","0","0","69"
"*0311w*","P","Ben Lively","CLE","SP","IR","33","TEX 8<br/>@CLE 9 F","2","X","44.2","2","0","29","3.22","1.187","0","0","0","0","0","0","0","9"
"*051ui*","P","Jacob Lopez","ATH","SP","IR","27","KC 9<br/>@ATH 2 F","5","FA","92.2","7","0","113","4.08","1.273","0","0","0","0","0","0","0","21"
"*043f9*","P","Pablo Lopez","MIN","SP","IR","29","MIN 1<br/>@PHI 2 F","26","X","75.2","5","0","73","2.74","1.110","0","0","0","0","0","0","0","14"
"*04ee7*","P","Clarke Schmidt","NYY","SP","IR","29","BAL 2<br/>@NYY 3 F","3","25","78.2","4","0","73","3.32","1.093","0","0","0","0","0","0","0","14"
"*041am*","P","Lucas Erceg","KC","RP","IR","30","KC 9<br/>@ATH 2 F","1","25","61.1","8","2","48","2.64","1.174","0","0","0","0","0","0","0","61"
"*03deu*","P","Brock Stewart","MIN/LAD","RP","IR","34","LAD 6<br/>@SEA 1 F","5","FA","37.2","2","0","44","2.63","1.195","0","0","0","0","0","0","0","43"

