"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","AB","H","R","HR","RBI","SB","AVG","GP"
"*02n1c*","C","Tyler Heineman","TOR","C,UT","Act","34","TB 4<br/>@TOR 13 F","5","FA","149","43","25","3","20","2",".289","64"
"*04q2n*","C","Adley Rutschman","BAL","C","Act","27","BAL 2<br/>@NYY 3 F","27","X","322","71","37","9","29","0",".220","90"
"*03120*","1B","Cody Bellinger","NYY","1B,OF","Act","30","BAL 2<br/>@NYY 3 F","30","X","588","160","89","29","98","13",".272","152"
"*04llv*","2B","Lenyn Sosa","CHW","1B,2B,3B","Act","25","CHW 8<br/>@WSH 0 F","7","X","518","137","57","22","75","2",".264","140"
"*01ub6*","3B","Jose Ramirez","CLE","3B","Act","33","TEX 8<br/>@CLE 9 F","41","25","593","168","103","30","85","44",".283","158"
"*05145*","SS","Darell Hernaiz","ATH","2B,3B,SS","Act","24","KC 9<br/>@ATH 2 F","5","FA","173","40","17","2","16","3",".231","51"
"*05gtn*","CI","Tyler Soderstrom","ATH","1B,OF","Act","23","KC 9<br/>@ATH 2 F","13","X","561","155","75","25","93","8",".276","158"
"*0515v*","MI","David Hamilton","BOS","2B,SS","Act","28","DET 3<br/>@BOS 4 F","1","FA","177","35","27","6","19","22",".198","91"
"*04ydd*","OF","Angel Martinez","CLE","2B,OF","Act","23","TEX 8<br/>@CLE 9 F","8","FA","446","100","56","11","45","8",".224","139"
"*05xty*","OF","Dylan Beavers","BAL","OF","Act","24","BAL 2<br/>@NYY 3 F","6","FA","110","25","16","4","14","2",".227","35"
"*05ras*","OF","Colton Cowser","BAL","OF","Act","25","BAL 2<br/>@NYY 3 F","9","26","327","64","36","16","40","14",".196","92"
"*04nky*","OF","Trevor Larnach","MIN","OF","Act","28","MIN 1<br/>@PHI 2 F","16","X","503","126","62","17","60","4",".250","142"
"*04pvp*","OF","Michael Helman","STL/PIT/TEX","OF,UT","Act","29","TEX 8<br/>@CLE 9 F","5","FA","99","23","18","5","20","4",".232","38"
"*01cdf*","UT","Giancarlo Stanton","NYY","OF,UT","Act","36","BAL 2<br/>@NYY 3 F","1","X","249","68","36","24","66","0",".273","77"
"*06f0q*","2B","Kristian Campbell","BOS","2B,SS,OF","Res","23","DET 3<br/>@BOS 4 F","5","RX","229","51","24","6","21","2",".223","67"
"*03dp8*","OF","Ramon Laureano","BAL/SD","OF","Res","31","ARI 4<br/>@SD 12 F","2","X","441","124","72","24","76","7",".281","132"
"*05mdt*","OF","Evan Carter","TEX","OF","IR","23","TEX 8<br/>@CLE 9 F","5","25","194","48","31","5","25","14",".247","63"
"*04y94*","OF","Jonny Deluca","TB","OF","IR","27","TB 4<br/>@TOR 13 F","5","FA","57","19","5","0","4","6",".333","20"
"*05wy1*","3B","Brayden Taylor","TB","3B,SS","Min","23","TB 4<br/>@TOR 13 F","4","R","0","0","0","0","0","0","0","0"
"*05y7x*","SS","Cole Young","SEA","2B,SS","Min","22","LAD 6<br/>@SEA 1 F","5","R","223","47","24","4","24","1",".211","77"
"*05jre*","OF","Enrique Bradfield Jr.","BAL","OF","Min","23","BAL 2<br/>@NYY 3 F","4","R","0","0","0","0","0","0","0","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","IP","W","SV","K","ERA","WHIP","H","AB","R","RBI","HR","SB","AVG","GP"
"*05y23*","P","Tanner Bibee","CLE","SP","Act","26","TEX 8<br/>@CLE 9 F","22","X","182.1","12","0","162","4.24","1.229","0","0","0","0","0","0","0","31"
"*03d6w*","P","Jack Flaherty","DET","SP","Act","30","DET 3<br/>@BOS 4 F","14","X","161","8","0","188","4.64","1.280","0","0","0","0","0","0","0","31"
"*05xop*","P","Cade Povich","BAL","SP","Act","25","BAL 2<br/>@NYY 3 F","3","RX","112.1","3","0","118","5.21","1.496","0","0","0","0","0","0","0","22"
"*02iug*","P","Michael Wacha","KC","SP","Act","34","KC 9<br/>@ATH 2 F","1","25","172.2","10","0","126","3.86","1.222","0","0","0","0","0","0","0","31"
"*06apx*","P","Trey Yesavage","TOR","SP","Act","22","TB 4<br/>@TOR 13 F","1","FA","14","1","0","16","3.21","1.429","0","0","0","0","0","0","0","3"
"*02c47*","P","Shawn Armstrong","TEX","RP","Act","35","TEX 8<br/>@CLE 9 F","5","FA","74","4","9","74","2.31","0.811","0","0","0","0","0","0","0","71"
"*05143*","P","Hunter Gaddis","CLE","RP","Act","27","TEX 8<br/>@CLE 9 F","5","FA","66.2","2","3","73","3.10","1.185","0","0","0","0","0","0","0","73"
"*03qwa*","P","Phil Maton","STL/TEX","RP","Act","32","TEX 8<br/>@CLE 9 F","5","FA","61.1","4","5","81","2.79","1.060","0","0","0","0","0","0","0","63"
"*02h8d*","P","Steven Matz","STL/BOS","RP","Act","34","DET 3<br/>@BOS 4 F","5","FA","76.2","5","2","59","3.05","1.096","0","0","0","0","0","0","0","53"
"*05jpd*","P","Ian Seymour","TB","RP","Act","26","TB 4<br/>@TOR 13 F","5","FA","57","4","0","64","3.63","1.175","0","0","0","0","0","0","0","19"
"*0425t*","P","Bailey Ober","MIN","SP","Res","30","MIN 1<br/>@PHI 2 F","24","X","146.1","6","0","120","5.10","1.298","0","0","0","0","0","0","0","27"
"*04afl*","P","Brendon Little","TOR","RP","Res","29","TB 4<br/>@TOR 13 F","5","FA","68.1","4","1","91","3.03","1.361","0","0","0","0","0","0","0","79"
"*04ydi*","P","Ronel Blanco","HOU","SP","IR","32","HOU 6<br/>@LAA 2 F","1","25","48.1","3","0","48","4.10","1.179","0","0","0","0","0","0","0","9"
"*04ep8*","P","Kutter Crawford","BOS","SP","IR","29","DET 3<br/>@BOS 4 F","3","X","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05t64*","P","Felix Bautista","BAL","RP","IR","30","BAL 2<br/>@NYY 3 F","7","26","34.2","1","19","50","2.60","1.125","0","0","0","0","0","0","0","35"
"*05rk4*","P","Brandon Walter","HOU","RP","IR","29","HOU 6<br/>@LAA 2 F","5","FA","53.2","1","0","52","3.35","0.932","0","0","0","0","0","0","0","9"

