"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","AB","H","R","HR","RBI","SB","AVG","GP"
"*01usr*","C","Kyle Higashioka","TEX","C","Act","35","TEX 8<br/>@CLE 9 F","4","X","303","73","33","11","47","3",".241","94"
"*04o4s*","C","Shea Langeliers","ATH","C","Act","28","KC 9<br/>@ATH 2 F","20","X","481","133","73","31","72","7",".277","123"
"*01ual*","1B","Paul Goldschmidt","NYY","1B","Act","38","BAL 2<br/>@NYY 3 F","19","X","489","134","76","10","45","5",".274","146"
"*05ybv*","2B","Jackson Holliday","BAL","2B,SS","Act","21","BAL 2<br/>@NYY 3 F","10","26","586","142","70","17","55","17",".242","149"
"*04eig*","3B","Jose Caballero","TB/NYY","2B,3B,SS,OF,P","Act","29","BAL 2<br/>@NYY 3 F","12","X","314","74","52","5","36","49",".236","126"
"*02bqh*","SS","Trevor Story","BOS","SS","Act","33","DET 3<br/>@BOS 4 F","17","X","612","161","91","25","96","31",".263","157"
"*04q0o*","CI","Romy Gonzalez","BOS","1B,2B,SS","Act","29","DET 3<br/>@BOS 4 F","5","FA","315","96","47","9","53","6",".305","96"
"*06cq8*","MI","Christian Moore","LAA","2B","Act","23","HOU 6<br/>@LAA 2 F","5","RX","162","32","20","7","16","3",".198","53"
"*04aee*","OF","Jo Adell","LAA","OF","Act","26","HOU 6<br/>@LAA 2 F","12","X","526","124","63","37","98","5",".236","152"
"*03qjv*","OF","Harrison Bader","MIN/PHI","OF","Act","31","MIN 1<br/>@PHI 2 F","5","X","448","124","61","17","54","11",".277","146"
"*02z0s*","OF","Aaron Judge","NYY","OF","Act","33","BAL 2<br/>@NYY 3 F","50","X","541","179","137","53","114","12",".331","152"
"*04pmn*","OF","Parker Meadows","DET","OF","Act","26","DET 3<br/>@BOS 4 F","3","X","191","41","22","4","16","4",".215","58"
"*05gsi*","OF","Ceddanne Rafaela","BOS","2B,SS,OF","Act","25","DET 3<br/>@BOS 4 F","9","26","546","136","84","16","63","20",".249","156"
"*032gq*","UT","Rowdy Tellez","SEA/TEX","1B,P","Act","30","TEX 8<br/>@CLE 9 F","5","FA","289","66","34","17","49","1",".228","112"
"*062z3*","2B","Brooks Baldwin","CHW","2B,3B,SS,OF","Res","25","CHW 8<br/>@WSH 0 F","5","FA","300","72","32","11","38","5",".240","103"
"*04ppk*","UT","Richie Palacios","TB","2B,OF","Res","28","TB 4<br/>@TOR 13 F","7","X","42","14","10","1","3","4",".333","17"
"*026qc*","UT","Joc Pederson","TEX","UT","Res","33","TEX 8<br/>@CLE 9 F","5","FA","265","48","28","9","26","2",".181","96"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","IP","W","SV","K","ERA","WHIP","H","AB","R","RBI","HR","SB","AVG","GP"
"*02hjp*","P","Jacob deGrom","TEX","SP","Act","37","TEX 8<br/>@CLE 9 F","5","25","172.2","12","0","185","2.97","0.921","0","0","0","0","0","0","0","30"
"*05uc4*","P","Troy Melton","DET","SP","Act","24","DET 3<br/>@BOS 4 F","5","FA","45.2","3","0","36","2.76","1.007","0","0","0","0","0","0","0","16"
"*005jn*","P","Charlie Morton","BAL/DET/ATL","SP","Act","42","PIT 1<br/>@ATL 4 F","5","FA","142","9","0","149","5.83","1.577","0","0","0","0","0","0","0","33"
"*05u6q*","P","Cam Schlittler","NYY","SP","Act","24","BAL 2<br/>@NYY 3 F","10","FA","73","4","0","84","2.96","1.219","0","0","0","0","0","0","0","14"
"*04pmp*","P","Simeon Woods-Richardson","MIN","SP","Act","25","MIN 1<br/>@PHI 2 F","5","FA","111.1","7","0","107","4.04","1.275","0","0","0","0","0","0","0","23"
"*05138*","P","Matt Brash","SEA","RP","Act","27","LAD 6<br/>@SEA 1 F","5","FA","47.1","1","4","58","2.47","1.246","0","0","0","0","0","0","0","53"
"*04eos*","P","Joey Cantillo","CLE","RP","Act","25","TEX 8<br/>@CLE 9 F","5","FA","95.1","5","1","108","3.21","1.259","0","0","0","0","0","0","0","34"
"*04k0w*","P","Camilo Doval","SF/NYY","RP","Act","28","BAL 2<br/>@NYY 3 F","5","FA","65.1","4","16","72","3.58","1.316","0","0","0","0","0","0","0","69"
"*01svz*","P","Kenley Jansen","LAA","RP","Act","38","HOU 6<br/>@LAA 2 F","16","X","59","5","29","57","2.59","0.949","0","0","0","0","0","0","0","62"
"*02j77*","P","Chris Martin","TEX","RP","Act","39","TEX 8<br/>@CLE 9 F","10","X","42.1","2","2","43","2.98","1.205","0","0","0","0","0","0","0","49"
"*02c2h*","P","Chris Bassitt","TOR","SP","IR","36","TB 4<br/>@TOR 13 F","9","X","170.1","11","0","166","3.96","1.327","0","0","0","0","0","0","0","32"
"*01ut7*","P","Nathan Eovaldi","TEX","SP","IR","35","TEX 8<br/>@CLE 9 F","15","X","130","11","0","129","1.73","0.854","0","0","0","0","0","0","0","22"

