"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","AB","H","R","HR","RBI","SB","AVG","GP"
"*029us*","C","Christian Vazquez","MIN","C","Act","35","MIN 1<br/>@PHI 2 F","2","X","190","36","14","3","14","1",".189","65"
"*05ahg*","C","Austin Wells","NYY","C","Act","26","BAL 2<br/>@NYY 3 F","17","X","401","88","51","21","71","5",".219","126"
"*05184*","1B","Vinnie Pasquantino","KC","1B","Act","28","KC 9<br/>@ATH 2 F","18","25","621","164","72","32","113","1",".264","160"
"*03b6k*","2B","Jorge Mateo","BAL","2B,SS,OF,P","Act","30","BAL 2<br/>@NYY 3 F","5","FA","79","14","9","1","3","15",".177","43"
"*045qo*","3B","Jazz Chisholm Jr.","NYY","2B,3B,OF","Act","27","BAL 2<br/>@NYY 3 F","41","X","462","112","75","31","80","31",".242","130"
"*04y9p*","SS","Anthony Volpe","NYY","SS","Act","24","BAL 2<br/>@NYY 3 F","15","26","539","114","65","19","72","18",".212","153"
"*04yig*","CI","Brooks Lee","MIN","2B,3B,SS","Act","24","MIN 1<br/>@PHI 2 F","5","RX","487","115","50","16","64","3",".236","139"
"*050w9*","MI","Gunnar Henderson","BAL","SS","Act","24","BAL 2<br/>@NYY 3 F","16","27","577","158","85","17","68","30",".274","154"
"*040b5*","OF","Randy Arozarena","SEA","OF","Act","30","LAD 6<br/>@SEA 1 F","24","X","613","146","95","27","76","31",".238","160"
"*03pdw*","OF","Andrew Benintendi","CHW","OF","Act","31","CHW 8<br/>@WSH 0 F","4","X","420","101","57","20","63","1",".240","116"
"*041q6*","OF","Nolan Jones","COL/CLE","OF","Act","27","TEX 8<br/>@CLE 9 F","11","X","355","75","34","5","34","8",".211","136"
"*02h9j*","OF","Michael A. Taylor","CHW","OF","Act","34","CHW 8<br/>@WSH 0 F","5","FA","295","59","33","9","35","8",".200","134"
"*04pqq*","OF","Matt Vierling","DET","3B,OF","Act","29","DET 3<br/>@BOS 4 F","11","X","88","21","6","1","11","2",".239","31"
"*03pjl*","UT","Ryan Mountcastle","BAL","1B","Act","28","BAL 2<br/>@NYY 3 F","17","X","332","83","34","7","35","3",".250","89"
"*01te5*","3B","Donovan Solano","SEA/TEX","1B,3B","Res","37","TEX 8<br/>@CLE 9 F","1","FA","166","41","10","3","21","0",".247","71"
"*05t9l*","UT","Max Muncy","ATH","2B,3B,SS","IR","23","KC 9<br/>@ATH 2 F","8","FA","206","44","17","9","23","1",".214","63"
"*06c78*","2B","Franklin Arias","BOS","2B,SS","Min","20","DET 3<br/>@BOS 4 F","3","R","0","0","0","0","0","0","0","0"
"*05r5e*","SS","Angel Genao","CLE","SS","Min","21","TEX 8<br/>@CLE 9 F","4","R","0","0","0","0","0","0","0","0"
"*05yai*","SS","Bryce Rainer","DET","SS","Min","20","DET 3<br/>@BOS 4 F","5","R","0","0","0","0","0","0","0","0"
"*05u9y*","OF","Max Clark","DET","OF","Min","20","DET 3<br/>@BOS 4 F","5","R","0","0","0","0","0","0","0","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","IP","W","SV","K","ERA","WHIP","H","AB","R","RBI","HR","SB","AVG","GP"
"*04tk1*","P","Slade Cecconi","CLE","SP","Act","26","TEX 8<br/>@CLE 9 F","5","FA","132","7","0","109","4.30","1.189","0","0","0","0","0","0","0","23"
"*04s1h*","P","Luis Gil","NYY","SP","Act","27","BAL 2<br/>@NYY 3 F","2","X","57","4","0","41","3.32","1.404","0","0","0","0","0","0","0","11"
"*04n0m*","P","Logan Gilbert","SEA","SP","Act","28","LAD 6<br/>@SEA 1 F","38","X","131","6","0","173","3.44","1.031","0","0","0","0","0","0","0","25"
"*05vy6*","P","Bryce Miller","SEA","SP","Act","27","LAD 6<br/>@SEA 1 F","19","25","90.1","4","0","74","5.68","1.406","0","0","0","0","0","0","0","18"
"*06dqb*","P","Shane Smith","CHW","SP","Act","25","CHW 8<br/>@WSH 0 F","2","RX","146.1","7","0","145","3.81","1.196","0","0","0","0","0","0","0","29"
"*041py*","P","Keegan Akin","BAL","RP","Act","30","BAL 2<br/>@NYY 3 F","1","X","63.1","5","8","59","3.41","1.374","0","0","0","0","0","0","0","64"
"*04aqc*","P","David Bednar","PIT/NYY","RP","Act","31","BAL 2<br/>@NYY 3 F","13","FA","62.2","6","27","86","2.30","1.037","0","0","0","0","0","0","0","64"
"*01gya*","P","Aroldis Chapman","BOS","RP","Act","37","DET 3<br/>@BOS 4 F","8","X","61.1","5","32","85","1.17","0.701","0","0","0","0","0","0","0","67"
"*02myt*","P","Steven Okert","HOU","RP","Act","34","HOU 6<br/>@LAA 2 F","5","FA","71.2","3","1","84","3.01","0.893","0","0","0","0","0","0","0","68"
"*06at1*","P","Yariel Rodriguez","TOR","RP","Act","28","TB 4<br/>@TOR 13 F","5","FA","73","3","2","66","3.08","1.151","0","0","0","0","0","0","0","66"
"*05jp3*","P","Logan Allen","CLE","SP","Res","27","TEX 8<br/>@CLE 9 F","5","FA","156.2","8","0","122","4.25","1.398","0","0","0","0","0","0","0","30"
"*05jpk*","P","Joe Boyle","TB","SP","Res","26","TB 4<br/>@TOR 13 F","8","FA","52","1","0","58","4.67","1.365","0","0","0","0","0","0","0","13"
"*01seh*","P","Alex Cobb","DET","SP","IR","38","DET 3<br/>@BOS 4 F","2","X","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0310c*","P","Hunter Harvey","KC","RP","IR","30","KC 9<br/>@ATH 2 F","5","FA","10.2","1","0","11","0.00","0.656","0","0","0","0","0","0","0","12"
"*01ub8*","P","Liam Hendriks","BOS","RP","IR","36","DET 3<br/>@BOS 4 F","9","X","13.2","0","0","12","6.59","1.390","0","0","0","0","0","0","0","14"

