"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","AB","H","R","HR","RBI","SB","AVG","GP"
"*031cd*","C","Mitch Garver","SEA","C","Act","34","LAD 6<br/>@SEA 1 F","2","X","254","53","29","9","30","3",".209","87"
"*04q56*","C","Logan OHoppe","LAA","C","Act","25","HOU 6<br/>@LAA 2 F","21","X","423","90","35","19","43","2",".213","119"
"*041ts*","1B","Luke Raley","SEA","1B,OF","Act","31","LAD 6<br/>@SEA 1 F","17","X","183","37","23","4","19","2",".202","73"
"*0414h*","2B","Gabriel Arias","CLE","2B,3B,SS","Act","25","TEX 8<br/>@CLE 9 F","3","X","432","95","44","11","54","8",".220","129"
"*03btu*","3B","Willi Castro","MIN/CHC","2B,3B,SS,OF,P","Act","28","STL 0<br/>@CHC 2 F","21","X","402","91","58","11","33","10",".226","120"
"*04ppj*","SS","Jeremy Pena","HOU","SS","Act","28","HOU 6<br/>@LAA 2 F","28","X","493","150","68","17","62","20",".304","125"
"*03avk*","CI","Luis Rengifo","LAA","2B,3B,OF","Act","28","HOU 6<br/>@LAA 2 F","22","X","501","119","55","9","43","10",".238","147"
"*03qml*","MI","Dylan Moore","SEA/TEX","1B,2B,3B,SS,OF","Act","33","TEX 8<br/>@CLE 9 F","5","25","219","44","35","11","25","14",".201","105"
"*04pbp*","OF","Christopher Morel","TB","2B,3B,OF","Act","26","TB 4<br/>@TOR 13 F","5","FA","278","61","37","11","33","7",".219","105"
"*060x1*","OF","Wilyer Abreu","BOS","OF","Act","26","DET 3<br/>@BOS 4 F","17","X","373","92","53","22","69","6",".247","115"
"*051em*","OF","Kerry Carpenter","DET","OF","Act","28","DET 3<br/>@BOS 4 F","24","X","433","109","66","26","62","1",".252","130"
"*04e2u*","OF","Brent Rooker","ATH","OF","Act","31","KC 9<br/>@ATH 2 F","14","25","626","164","92","30","89","6",".262","162"
"*03pje*","OF","Taylor Ward","LAA","OF","Act","31","HOU 6<br/>@LAA 2 F","20","X","579","132","86","36","103","4",".228","157"
"*03qz9*","UT","Sam Haggerty","TEX","2B,OF","Act","31","TEX 8<br/>@CLE 9 F","6","FA","162","41","31","2","13","12",".253","64"
"*05ub0*","UT","Zack Gelof","ATH","2B","Res","26","KC 9<br/>@ATH 2 F","5","FA","92","16","12","2","7","1",".174","30"
"*05xu5*","SS","Zach Neto","LAA","SS","IR","24","HOU 6<br/>@LAA 2 F","9","26","502","129","82","26","62","26",".257","128"
"*062k5*","1B","Nick Kurtz","ATH","1B","Min","22","KC 9<br/>@ATH 2 F","5","R","420","122","90","36","86","2",".290","117"
"*05mx9*","SS","Felnin Celesten","SEA","SS","Min","20","LAD 6<br/>@SEA 1 F","1","R","0","0","0","0","0","0","0","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","IP","W","SV","K","ERA","WHIP","H","AB","R","RBI","HR","SB","AVG","GP"
"*04pkt*","P","J.T. Ginn","ATH","SP","Act","26","KC 9<br/>@ATH 2 F","5","FA","90.1","4","0","99","5.08","1.362","0","0","0","0","0","0","0","23"
"*02i37*","P","Lucas Giolito","BOS","SP","Act","31","DET 3<br/>@BOS 4 F","5","FA","145","10","0","121","3.41","1.290","0","0","0","0","0","0","0","26"
"*045kb*","P","Cristian Javier","HOU","SP","Act","28","HOU 6<br/>@LAA 2 F","1","X","37","2","0","34","4.62","1.270","0","0","0","0","0","0","0","8"
"*02hj7*","P","Merrill Kelly","ARI/TEX","SP","Act","37","TEX 8<br/>@CLE 9 F","17","FA","184","12","0","167","3.52","1.114","0","0","0","0","0","0","0","32"
"*04yie*","P","George Kirby","SEA","SP","Act","27","LAD 6<br/>@SEA 1 F","9","X","126","10","0","137","4.21","1.190","0","0","0","0","0","0","0","23"
"*04mlf*","P","Casey Mize","DET","SP","Act","28","DET 3<br/>@BOS 4 F","3","X","149","14","0","139","3.87","1.268","0","0","0","0","0","0","0","28"
"*0662m*","P","Luis Morales","ATH","SP","Act","23","KC 9<br/>@ATH 2 F","5","FA","48.2","4","0","43","3.14","1.151","0","0","0","0","0","0","0","10"
"*03ab0*","P","Luis Severino","ATH","SP","Act","31","KC 9<br/>@ATH 2 F","6","X","162.2","8","0","124","4.54","1.303","0","0","0","0","0","0","0","29"
"*05yaz*","P","Will Warren","NYY","SP","Act","26","BAL 2<br/>@NYY 3 F","2","X","162.1","9","0","171","4.44","1.374","0","0","0","0","0","0","0","33"
"*05y62*","P","Bryan Woo","SEA","SP","Act","25","LAD 6<br/>@SEA 1 F","23","X","186.2","15","0","198","2.94","0.927","0","0","0","0","0","0","0","30"
"*0596g*","P","Reid Detmers","LAA","RP","Res","26","HOU 6<br/>@LAA 2 F","5","FA","63.2","5","3","80","3.96","1.304","0","0","0","0","0","0","0","61"
"*02c5l*","P","Luke Weaver","NYY","RP","Res","32","BAL 2<br/>@NYY 3 F","5","X","64.2","4","8","72","3.62","1.021","0","0","0","0","0","0","0","64"
"*02bxv*","P","Jon Gray","TEX","SP","IR","34","TEX 8<br/>@CLE 9 F","5","FA","14","1","0","12","7.71","1.500","0","0","0","0","0","0","0","6"
"*05rb0*","P","Jackson Jobe","DET","SP","Min","23","DET 3<br/>@BOS 4 F","5","R","49","4","0","39","4.22","1.490","0","0","0","0","0","0","0","10"
"*05uc7*","P","Noah Schultz","CHW","SP","Min","22","CHW 8<br/>@WSH 0 F","4","R","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05zd4*","P","Hagen Smith","CHW","SP","Min","22","CHW 8<br/>@WSH 0 F","4","R","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

