"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","AB","H","R","HR","RBI","SB","AVG","GP"
"*0524l*","C","Yainer Diaz","HOU","C","Act","27","HOU 6<br/>@LAA 2 F","10","25","542","139","56","20","70","1",".256","143"
"*04t3y*","C","Alejandro Kirk","TOR","C","Act","27","TB 4<br/>@TOR 13 F","13","X","451","127","45","15","76","1",".282","130"
"*04yk2*","1B","Spencer Torkelson","DET","1B","Act","26","DET 3<br/>@BOS 4 F","3","X","563","135","82","31","78","2",".240","155"
"*04alp*","2B","Ernie Clement","TOR","1B,2B,3B,SS,P","Act","29","TB 4<br/>@TOR 13 F","6","X","545","151","83","9","50","6",".277","157"
"*05g3x*","3B","Maikel Garcia","KC","2B,3B,SS,OF","Act","25","KC 9<br/>@ATH 2 F","7","25","595","170","81","16","74","23",".286","160"
"*04lgp*","SS","Bobby Witt Jr.","KC","SS","Act","25","KC 9<br/>@ATH 2 F","15","25","623","184","99","23","88","38",".295","157"
"*05jrw*","CI","Bob Seymour","TB","1B","Act","27","TB 4<br/>@TOR 13 F","5","FA","78","16","9","1","5","1",".205","26"
"*05ahe*","MI","Curtis Mead","TB/CHW","1B,2B,3B","Act","25","CHW 8<br/>@WSH 0 F","5","RX","240","56","26","3","19","5",".233","90"
"*04prt*","OF","Lawrence Butler","ATH","OF","Act","25","KC 9<br/>@ATH 2 F","11","27","569","133","83","21","63","22",".234","152"
"*04aq4*","OF","Adolis Garcia","TEX","OF","Act","32","TEX 8<br/>@CLE 9 F","29","X","507","115","58","19","75","13",".227","135"
"*04psu*","OF","James Outman","LAD/MIN","OF","Act","28","MIN 1<br/>@PHI 2 F","5","FA","134","18","19","6","11","1",".134","59"
"*04efa*","OF","Daulton Varsho","TOR","OF","Act","29","TB 4<br/>@TOR 13 F","18","X","248","59","43","20","55","2",".238","71"
"*031dw*","OF","Mike Yastrzemski","SF/KC","OF,P","Act","35","KC 9<br/>@ATH 2 F","6","FA","477","111","68","17","46","7",".233","147"
"*05vy5*","UT","Carter Jensen","KC","C","Act","22","KC 9<br/>@ATH 2 F","5","R","60","18","12","3","13","0",".300","20"
"*04355*","UT","Yordan Alvarez","HOU","OF","Res","28","HOU 6<br/>@LAA 2 F","41","X","165","45","17","6","27","1",".273","48"
"*061gx*","OF","Jacob Melton","HOU","OF","Res","25","HOU 6<br/>@LAA 2 F","3","RX","70","11","7","0","7","7",".157","32"
"*04bpj*","MI","Taylor Walls","TB","2B,SS","IR","29","TB 4<br/>@TOR 13 F","6","X","282","62","36","4","38","14",".220","101"
"*061yt*","OF","Alan Roden","TOR/MIN","OF","IR","25","MIN 1<br/>@PHI 2 F","3","RX","136","26","17","2","9","1",".191","55"
"*05y7t*","OF","Henry Bolte","ATH","OF","Min","22","KC 9<br/>@ATH 2 F","2","R","0","0","0","0","0","0","0","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","IP","W","SV","K","ERA","WHIP","H","AB","R","RBI","HR","SB","AVG","GP"
"*05g4k*","P","Mick Abel","PHI/MIN","SP","Act","24","MIN 1<br/>@PHI 2 F","5","FA","39","3","0","39","6.23","1.513","0","0","0","0","0","0","0","10"
"*04y9o*","P","Jack Leiter","TEX","SP","Act","25","TEX 8<br/>@CLE 9 F","3","X","151.2","10","0","148","3.86","1.279","0","1","0","0","0","0",".000","29"
"*066cf*","P","Zebby Matthews","MIN","SP","Act","25","MIN 1<br/>@PHI 2 F","4","RX","79.1","5","0","88","5.56","1.487","0","0","0","0","0","0","0","16"
"*03qne*","P","Chris Paddack","MIN/DET","SP","Act","29","DET 3<br/>@BOS 4 F","5","FA","158","5","1","112","5.35","1.285","0","0","0","0","0","0","0","33"
"*004ee*","P","Max Scherzer","TOR","SP","Act","41","TB 4<br/>@TOR 13 F","12","X","85","5","0","82","5.19","1.294","0","0","0","0","0","0","0","17"
"*04b01*","P","Tomoyuki Sugano","BAL","SP","Act","36","BAL 2<br/>@NYY 3 F","7","X","157","10","0","106","4.64","1.331","0","0","0","0","0","0","0","30"
"*0314j*","P","Ryan Yarbrough","TOR/NYY","SP","Act","33","BAL 2<br/>@NYY 3 F","5","FA","64","3","1","55","4.36","1.203","0","0","0","0","0","0","0","19"
"*041g5*","P","Elvis Alvarado","ATH","RP","Act","26","KC 9<br/>@ATH 2 F","5","FA","42.1","1","0","50","3.19","1.323","0","0","0","0","0","0","0","37"
"*0403o*","P","Andres Munoz","SEA","RP","Act","26","LAD 6<br/>@SEA 1 F","22","X","62.1","3","38","83","1.73","1.027","0","0","0","0","0","0","0","64"
"*04ok0*","P","Mike Vasil","TB/CHW","RP","Act","25","CHW 8<br/>@WSH 0 F","5","FA","101","5","4","82","2.50","1.248","0","0","0","0","0","0","0","47"
"*05y0j*","P","Spencer Arrighetti","HOU","SP","IR","25","HOU 6<br/>@LAA 2 F","9","X","35.1","1","0","31","5.35","1.415","0","0","0","0","0","0","0","7"
"*05y6w*","P","Hunter Dobbins","BOS","SP","IR","26","DET 3<br/>@BOS 4 F","7","FA","61","4","0","45","4.13","1.279","0","0","0","0","0","0","0","13"
"*05yav*","P","David Festa","MIN","SP","IR","25","MIN 1<br/>@PHI 2 F","1","X","53.1","3","0","53","5.40","1.275","0","0","0","0","0","0","0","11"
"*03djk*","P","Tanner Houck","BOS","SP","IR","29","DET 3<br/>@BOS 4 F","16","X","43.2","0","0","32","8.04","1.695","0","0","0","0","0","0","0","9"
"*041r5*","P","Dustin May","LAD/BOS","SP","IR","28","DET 3<br/>@BOS 4 F","6","FA","132.1","7","0","123","4.96","1.421","0","0","0","0","0","0","0","25"

