"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","AB","H","R","HR","RBI","SB","AVG","GP"
"*01s99*","C","Travis dArnaud","LAA","C","Act","36","HOU 6<br/>@LAA 2 F","5","X","213","42","16","6","21","0",".197","69"
"*031b2*","C","Jonah Heim","TEX","C","Act","30","TEX 8<br/>@CLE 9 F","11","X","395","84","38","11","43","3",".213","124"
"*05rfu*","1B","Kyle Manzardo","CLE","1B","Act","25","TEX 8<br/>@CLE 9 F","1","RX","470","110","47","27","70","2",".234","142"
"*031t0*","2B","Gleyber Torres","DET","2B","Act","28","DET 3<br/>@BOS 4 F","21","X","532","136","79","16","74","4",".256","145"
"*02jh6*","3B","Eugenio Suarez","ARI/SEA","3B","Act","34","LAD 6<br/>@SEA 1 F","32","FA","588","134","91","49","118","4",".228","159"
"*0648n*","SS","Chase Meidroth","CHW","2B,3B,SS","Act","24","CHW 8<br/>@WSH 0 F","4","RX","450","114","54","5","23","14",".253","122"
"*05xch*","CI","Junior Caminero","TB","3B","Act","22","TB 4<br/>@TOR 13 F","10","26","602","159","93","45","110","7",".264","154"
"*05jrh*","MI","Colt Keith","DET","1B,2B,3B","Act","24","DET 3<br/>@BOS 4 F","21","X","414","106","65","13","45","1",".256","137"
"*04pst*","OF","Jarren Duran","BOS","OF","Act","29","DET 3<br/>@BOS 4 F","40","X","620","159","86","16","84","24",".256","157"
"*060pm*","OF","Wyatt Langford","TEX","OF","Act","24","TEX 8<br/>@CLE 9 F","27","25","489","118","73","22","62","22",".241","134"
"*025he*","OF","George Springer","TOR","OF","Act","36","TB 4<br/>@TOR 13 F","20","X","498","154","106","32","84","18",".309","140"
"*04o78*","OF","Matt Wallner","MIN","OF,P","Act","27","MIN 1<br/>@PHI 2 F","17","X","336","68","47","22","40","4",".202","104"
"*04ru7*","OF","Miguel Vargas","CHW","1B,3B,OF","Act","26","CHW 8<br/>@WSH 0 F","4","X","504","118","80","16","60","6",".234","138"
"*05rc3*","UT","Masataka Yoshida","BOS","OF,UT","Act","32","DET 3<br/>@BOS 4 F","1","X","188","50","16","4","26","3",".266","55"
"*01cfr*","UT","Carlos Santana","CLE/CHC","1B","Res","39","STL 0<br/>@CHC 2 F","8","X","415","91","49","11","54","7",".219","124"
"*05u9q*","1B","Jac Caglianone","KC","1B,OF","Min","22","KC 9<br/>@ATH 2 F","5","R","210","33","19","7","18","1",".157","62"
"*062pp*","1B","Xavier Isaac","TB","1B","Min","21","TB 4<br/>@TOR 13 F","5","R","0","0","0","0","0","0","0","0"
"*04is5*","OF","Everson Pereira","NYY/TB","OF","Min","24","TB 4<br/>@TOR 13 F","4","R","65","9","7","2","8","2",".138","23"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","IP","W","SV","K","ERA","WHIP","H","AB","R","RBI","HR","SB","AVG","GP"
"*02bwg*","P","Kyle Hendricks","LAA","SP","Act","35","HOU 6<br/>@LAA 2 F","5","FA","164.2","8","0","114","4.76","1.275","0","0","0","0","0","0","0","31"
"*02brc*","P","Adrian Houser","TEX/CHW/TB","SP","Act","32","TB 4<br/>@TOR 13 F","5","FA","125","8","0","92","3.31","1.280","0","0","0","0","0","0","0","21"
"*031ey*","P","Eric Lauer","TOR","SP","Act","30","TB 4<br/>@TOR 13 F","5","FA","104.2","9","0","102","3.18","1.108","0","0","0","0","0","0","0","28"
"*04pxf*","P","Davis Martin","CHW","SP","Act","28","CHW 8<br/>@WSH 0 F","5","FA","142.2","7","0","104","4.10","1.290","0","0","0","0","0","0","0","26"
"*05tzn*","P","Parker Messick","CLE","SP","Act","25","TEX 8<br/>@CLE 9 F","5","FA","39.2","3","0","38","2.72","1.311","0","0","0","0","0","0","0","7"
"*0317q*","P","Griffin Jax","MIN/TB","RP","Act","31","TB 4<br/>@TOR 13 F","1","25","66","1","0","99","4.23","1.288","0","0","0","0","0","0","0","73"
"*03div*","P","Jake Latz","TEX","RP","Act","29","TEX 8<br/>@CLE 9 F","5","FA","85.2","2","1","76","2.84","1.237","0","0","0","0","0","0","0","33"
"*01fhm*","P","Martin Perez","CHW","RP","Act","34","CHW 8<br/>@WSH 0 F","5","FA","56","1","0","44","3.54","1.107","0","0","0","0","0","0","0","11"
"*04eor*","P","Cade Smith","CLE","RP","Act","26","TEX 8<br/>@CLE 9 F","3","X","73.2","8","16","104","2.93","1.005","0","0","0","0","0","0","0","76"
"*051bm*","P","Louis Varland","MIN/TOR","RP","Act","27","TB 4<br/>@TOR 13 F","5","FA","72.2","4","0","75","2.97","1.197","0","0","0","0","0","0","0","74"
"*041qr*","P","Aaron Civale","MIL/CHW","SP","Res","30","STL 0<br/>@CHC 2 F","5","FA","102","4","1","88","4.85","1.265","0","0","0","0","0","0","0","23"
"*04enz*","P","Robert Garcia","TEX","RP","Res","29","TEX 8<br/>@CLE 9 F","4","X","64","4","9","68","2.95","1.250","0","0","0","0","0","0","0","71"
"*04mlt*","P","Shane McClanahan","TB","SP","IR","28","TB 4<br/>@TOR 13 F","2","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*026l1*","P","Lance McCullers Jr.","HOU","SP","IR","32","HOU 6<br/>@LAA 2 F","1","X","55.1","2","0","61","6.51","1.807","0","0","0","0","0","0","0","16"
"*04px8*","P","Reese Olson","DET","SP","IR","26","DET 3<br/>@BOS 4 F","9","X","68.2","4","0","65","3.15","1.209","0","0","0","0","0","0","0","13"
"*05r3a*","P","Brandon Young","BAL","SP","IR","27","BAL 2<br/>@NYY 3 F","5","FA","57.2","1","0","47","6.24","1.543","0","0","0","0","0","0","0","12"
