"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","AB","H","R","HR","RBI","SB","AVG","GP"
"*04mrn*","C","Bo Naylor","CLE","C","Act","25","TEX 8<br/>@CLE 9 F","5","25","359","70","46","14","47","1",".195","123"
"*01u75*","C","Salvador Perez","KC","C,1B","Act","35","KC 9<br/>@ATH 2 F","25","X","597","141","54","30","100","0",".236","155"
"*03ojr*","1B","Vladimir Guerrero Jr.","TOR","1B","Act","26","TB 4<br/>@TOR 13 F","34","25","589","172","96","23","84","6",".292","156"
"*06am0*","2B","Mickey Gasper","MIN","C,1B,2B","Act","30","MIN 1<br/>@PHI 2 F","25","FA","95","15","15","2","11","2",".158","45"
"*04aeb*","3B","Royce Lewis","MIN","3B","Act","26","MIN 1<br/>@PHI 2 F","9","25","376","89","36","13","52","12",".237","106"
"*06bs4*","SS","Daniel Schneemann","CLE","2B,3B,SS,OF","Act","28","TEX 8<br/>@CLE 9 F","5","FA","379","78","48","12","41","9",".206","131"
"*02yh5*","CI","Amed Rosario","WSH/NYY","2B,3B,OF,P","Act","30","BAL 2<br/>@NYY 3 F","7","FA","181","50","20","6","23","1",".276","63"
"*05tuw*","MI","Trey Sweeney","DET","SS","Act","25","DET 3<br/>@BOS 4 F","5","FA","296","58","36","6","32","3",".196","118"
"*05139*","OF","Michael Massey","KC","2B,OF","Act","27","KC 9<br/>@ATH 2 F","16","X","262","64","20","3","20","2",".244","77"
"*05161*","OF","Dominic Canzone","SEA","OF","Act","28","LAD 6<br/>@SEA 1 F","10","FA","243","73","30","11","32","3",".300","82"
"*041ah*","OF","Josh Lowe","TB","OF","Act","27","TB 4<br/>@TOR 13 F","10","25","396","87","56","11","40","18",".220","108"
"*041e2*","OF","Mickey Moniak","LAA/COL","OF","Act","27","COL 0<br/>@SF 4 F","3","X","434","117","62","24","68","9",".270","135"
"*0622w*","OF","Chandler Simpson","TB","OF","Act","25","TB 4<br/>@TOR 13 F","5","RX","414","122","53","0","26","44",".295","109"
"*04pr1*","UT","Steven Kwan","CLE","OF","Act","28","TEX 8<br/>@CLE 9 F","24","25","625","170","81","11","56","21",".272","156"
"*0312v*","OF","Mike Tauchman","CHW","OF","Res","34","CHW 8<br/>@WSH 0 F","5","X","335","88","44","9","40","0",".263","93"
"*02bu9*","2B","Marcus Semien","TEX","2B","IR","35","TEX 8<br/>@CLE 9 F","27","X","470","108","62","15","62","11",".230","127"
"*05r9j*","2B","Marcelo Mayer","BOS","2B,3B,SS","IR","22","DET 3<br/>@BOS 4 F","5","RX","127","29","20","4","10","0",".228","44"
"*05u9z*","OF","Roman Anthony","BOS","OF","IR","21","DET 3<br/>@BOS 4 F","5","RX","257","75","48","8","32","4",".292","71"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","IP","W","SV","K","ERA","WHIP","H","AB","R","RBI","HR","SB","AVG","GP"
"*041rf*","P","Shane Bieber","CLE/TOR","SP","Act","30","TB 4<br/>@TOR 13 F","3","X","40.1","4","0","37","3.57","1.017","0","0","0","0","0","0","0","7"
"*03nuc*","P","Luis Castillo","SEA","SP","Act","32","LAD 6<br/>@SEA 1 F","24","X","180.2","11","0","162","3.54","1.185","0","0","0","0","0","0","0","32"
"*05ajh*","P","Garrett Crochet","BOS","SP","Act","26","DET 3<br/>@BOS 4 F","12","27","205.1","18","0","255","2.59","1.028","0","0","0","0","0","0","0","32"
"*04pvu*","P","Stephen Kolek","SD/KC","SP","Act","28","KC 9<br/>@ATH 2 F","25","FA","112.2","5","0","77","3.51","1.145","0","0","0","0","0","0","0","19"
"*0312g*","P","Tyler Mahle","TEX","SP","Act","31","TEX 8<br/>@CLE 9 F","1","X","86.2","6","0","66","2.18","1.131","0","0","0","0","0","0","0","16"
"*04auj*","P","Framber Valdez","HOU","SP","Act","32","HOU 6<br/>@LAA 2 F","30","X","192","13","0","187","3.66","1.245","0","0","0","0","0","0","0","31"
"*03qo0*","P","Pete Fairbanks","TB","RP","Act","31","TB 4<br/>@TOR 13 F","17","X","60.1","4","27","59","2.83","1.044","0","0","0","0","0","0","0","61"
"*031bl*","P","Kyle Finnegan","WSH/DET","RP","Act","34","DET 3<br/>@BOS 4 F","15","FA","57","4","24","55","3.47","1.105","0","0","0","0","0","0","0","56"
"*04eqa*","P","Garrett Whitlock","BOS","RP","Act","29","DET 3<br/>@BOS 4 F","2","X","72","7","1","91","2.25","1.083","0","0","0","0","0","0","0","62"
"*0311c*","P","Devin Williams","NYY","RP","Act","31","BAL 2<br/>@NYY 3 F","24","X","62","4","18","90","4.79","1.129","0","0","0","0","0","0","0","67"
"*06fz3*","P","Mitch Farris","LAA","SP","Res","24","HOU 6<br/>@LAA 2 F","25","FA","24.1","1","0","24","6.66","1.438","0","0","0","0","0","0","0","5"
"*04ml0*","P","Yusei Kikuchi","LAA","SP","Res","34","HOU 6<br/>@LAA 2 F","14","X","178.1","7","0","174","3.99","1.424","0","0","0","0","0","0","0","33"
"*026mq*","P","Tyler Anderson","LAA","SP","IR","35","HOU 6<br/>@LAA 2 F","1","X","136.1","2","0","104","4.56","1.408","0","0","0","0","0","0","0","26"
"*030x2*","P","Jose Leclerc","ATH","RP","IR","31","KC 9<br/>@ATH 2 F","3","X","9","0","0","8","6.00","2.000","0","0","0","0","0","0","0","10"
"*0318i*","P","Justin Topa","MIN","RP","IR","34","MIN 1<br/>@PHI 2 F","5","FA","60","1","4","49","3.90","1.433","0","0","0","0","0","0","0","54"
"*0514f*","P","Hayden Wesneski","HOU","RP","IR","27","HOU 6<br/>@LAA 2 F","7","FA","32","1","0","29","4.50","1.094","0","0","0","0","0","0","0","6"
"*063e5*","P","Caden Dana","LAA","SP","Min","21","HOU 6<br/>@LAA 2 F","4","R","32.1","0","0","33","6.40","1.485","0","0","0","0","0","0","0","7"
